content;label
Fitur sangat lengkap untuk pengeditan foto dan yang lainya,,,,,dan untuk mendapatkan fitur premium juga kita bisa akses melalui akun belajar.id yang dari guru sekolah kita. Namun sangat lah beribu ribu sayang,,,canva tidak memerhatikan fitur fitur dasar dalam pengeditan teks Terutama untuk menambahkan warna gradiasi di sebuah teks itu gak bisa terus untuk efek 3d mensi nya juga belum pas Terus transfarasi untuk memudarkan ujung foto juga belum pas Tolong Adain dulu fitur fitur dasarnya;netral
Sangat bagus, melatih kreatifitas. Tapi saya ingin memberi saran kepada Canva, sebaiknya menambah menu setelan agar bisa mengurutkan tampilan animasi tulisan/gambar seperti hal nya pada ms power point, jadi ketika animasinya di aktifkan, maka setiap tulisan tidak muncul secara bersamaan, tetapi berurut.;positif
Sebenarnya Canva aplikasi yang bagus. Banyak fitur, element, template, & mudah digunakan. Hanya saja aplikasi berjalan sangat lambat bahkan sering tidak merespon, padahal memori tersedia masih banyak & koneksi internet stabil bisa untuk buka aplikasi lainnya. Sudah update tetapi tetap lambat. Mohon segera diperbaiki demi kenyamanan pengguna. Lebih baik pada menu Lapisan dapat dipilih lebih dari satu, agar saat ingin mengelompokkan elemen yang tertindih dapat dipilih dengan mudah. Terima kasih;negatif
Canva makin kesini makin banyak bug, setiap masuk selalu gagal padahal koneksi stabil, pengubahan akun ke pelajar tapi status tetap akun pribadi. di update tidak ada perubahan, pada saat download video ukurannya tidak bisa diubah ke mode gratis. tolong diperbaiki.;netral
Aplikasi nya bagus tidak pernah ada masalah, tapi akhir akhir ini ketika saya meng ekspor sesuatu hasil nya selalu jadi blur, padahal sebelum nya tidak pernah begitu. Tolong ini canva saya bagaimana? Kerjaan saya jadi menumpuk karna hasil nya blur parah;positif
Aplikasi nya bgs dan lumayan tpi, saya kadang terkeluar sendri saat mendesain. Lalu tiba - tiba canva nya berhenti sendiri saya keluar dari aplikasi nya dan memulai lagi, tp sama saja,pdhl jaringan bgs,bug nya tolong di perbaiki dn update lgi.😊;negatif
Setelah ku update kok kayak ngelag banget gitu sih?, ngelag jaringan nya, padahal buat nge youtube 480p lancar jaya ... Buat download video youtube lancar juga, tapi pas buat ngedit jadi ngelag bgt, misal [ mau ngubah font gak bisa karna muter terus , mau nambahin template gak bisa di pencet tombol ( + ) nya ] pas nge update malah jadi tambah buruk... 🙏🙏 kecewa berat sih, 😭;negatif
Semua fitur di Canva sangatlah bagus, apalagi banyak elemen yang dapat di gunakan itu sangat banyak dan bervariasi. Cuma tolong dong, fitur seperti Multiply, Darken, dll itu diadakan. Soalnya kadang saya ingin beberapa elemen menjadi tercampur dengan background sehingga menghasilkan efek bagus, padahal itu fitur yang ada pada setiap aplikasi edit seperti biasanya;netral
Fitur canva susah diterapkan. Banyak terjadi kegagalan proses pembuatan desain/brand . Respon pilihan lemmot. Tak mampu merepresentasikan keinginan pengguna. Masih mendingan pixellab sama logopitplus... Kedua itu sangat lancar..gak ada masalah berarti. Canva is bad perform. Bad platform. Pilihan saya, UNINSTAL APP!!!;negatif
Akhir akhir ini sering bug. Jaringan bagus, akan tetapi canva tidak bisa digunakan dan meminta untuk memeriksa koneksi kembali. Tampilan stuck sehingga tidak bisa digunakan. solusinya adalah menutup aplikasi dan membuka lagi. seperti itu terus sehingga desain yang dibuat sulit tersimpan;negatif
Aplikasi yg wajib banget untuk di instal, krn fiturnya sgt bermanfaat, sehingga tdk perlu membayar jasa editing krn bsa edit sendiri sesuai dgn keinginan, dan hasilnya jg langsung bsa digunakan tanpa harus menunggu lama. Templete yg di sediakan jg sgt bnyak dan beragam.;positif
Canva aplikasi yang bagus dan mudah digunakan ,suka banget sama grafis-grafis nya, penggunaannya juga sederhana , juga lebih cepat buat insert file & export, bagus buat presentasi atau buat slide/story Ig juga bisa dan masih banyak lagi kegunaannya.;positif
Aplikasinya bagus, bagian element nya juga bagus tapi bagi element yg gratis kurang menarik dan desain nya kurang pas. Bagian yang lainnya juga udh bagus apalagi font itu bagus² cuma agak di tingkatkan lagi ya untuk element yg gratis;positif
Agak sedihhhh, semenjak update banyak sekali lag dan bug nya. Bahkan sampe hapus apk dan restart hp tetap aja sama, close apk juga sama. Lama sekali untuk buka design. Dan saya mohon untuk pihak canva memperbaiki masalah ini.. TRIMAKASIH🙏;netral
Canva aplikasi bagus , dan mudah . Cara pakai nya juga gampang . Suka banget sama grafis grafis nya . Cuma , aplikasi ini sering lemot , download gambar lama , harus keluar lalu masuk lagi , biar gak ngeleg , tapi masak setiap ngedit harus bersih bersih memo , padahal gak penuh. Mohon perbaikan nya . Waduh kok tambah lemot ya , server nya ada masalah terus harus ngerjain tugas P5 lagi .;negatif
Sebenernya ini aplikasi bagus dan membantu banget buat berbagai macam tugas. Tapi kenapa kalo di pake suka lambat banget ya? Padahal buat jaringan nya ok kok. Tolong di perbaiki lagi, karna hal kayak gini bener bener bikin ga nyaman buat nugas. Bug nya bener bener bikin emosi. Jadi tolong untuk developer bisa di perbaiki lagi;negatif
