content;label
"Sebener nya aplikasinya bagus simpnhk neko"" dan cenderung sedikit bot karena login lewat Instagram. Tapi tolong di tambahkan gitu DM karena jadi gk perlu buka ig. Dan ada bug ketika di alihkan ke ig gk bisa kembali harus di tutup atau gk kembali ke home screen";positif
Bintang 5 untuk devolevernya agar semangat ngembangin apk ini... Belum bisa menilai bagus atau engga nya untuk apk ini karna masih terbilang baru rillis masih bnyak yg harus diperbaiki terutama dari segi bugnya dan untuk para pengguna tolonglah jngan banyak mengeluh wajar banyak masalah di apk ini ,karna baru aja rillis gw yakin kedepannya apk ini pasti jadi trend;positif
Menurut ku, threads harus bikin fitur dm soalnya kalo cuma ngescroll isi nya doang ya lama lama jadi ngebosenin, awal awal menarik tapi lama kelamaan ya jadu ngebosenin soalnya isi nya cuman gitu gitu aja, gak ada fitur yang ngebuat woaah gitu, jadi saran ku aja, tolong adain fitur dm gitu;negatif
Makin simpel jadi gak nge lag, bagus banget kok. Tampilan ringan, ga papa ga ada fitur DM, kan emang tempatnya interaksi sosial. Udah gak usah di ubah-ubah plisss..;positif
Kalo udah posting tapi habis itu tiba2 formatnya berubah jadi kotak (1:1) bukan potrait kayak reels gitu, itu kenapa ya? ada yang sama an jg ga ?? :(;negatif
Sungguh menarik dengan kemudahan untuk berbagi juga memberikan komentar yang bisa disertai dengan gambar gambar yang mendukung postingan kita tentunya. Keren aza ya 😃;positif
Terpaksa install ni app. Kalau ga di-install, notif di Instagram nyala terus setiap habis buka app ig-nya.;negatif
Kok gak ada penerjemah bahasa ya..tolong dong di tingkatkan lagi..diperbaharui lagi biar bisa ngerti kalau yg lainnya berbahasa inggris maupun Korea..😔;positif
Woyyy kenapa gw nggak bisa komen dithreads orang lain?? Dan kenapa setiap gw like, share utas baik foto/video tetap GK bisa kirim.. solusiny gimana ini?? Apa perlu gw hapus lagi ini aplikasiny? Kesel banget anjirrr, rugi gw install aplikasi ini... Parah bangettt Gak Guna!!!!!!!!!!!!!!! Ku kira aplikasinya WOW ternyata Naudzubillah gw download, pdhl gw pke hpny bru loh, memory card pun masih kosong.. bru ke install App IG sm app ini.. tpi hasilny stlh install app threads tdk sesuai ekspetasi !!!!;negatif
setelah update fitur polling menghilang dan fitur hastag tidak dapat.;negatif
Bagus.. kalo bisa kasih opsi terjemah buat yang bahasa asing;positif
Kenapa setiap buka apk malah out sendiri? Tolonglah perbaiki lagi;negatif
Tambahin fitur translet bahasa dong. Bagi saya yang tidak mengerti bahasa asing untuk menikmati utasan orang lain yg pakai bahasa asing jadi tidak bisa! Nanti setelah ada fitur translet saya akan mengedit ulasan saya menjadi bintang 5. Mantap sudah di tambahan fitur nya⭐⭐⭐⭐⭐;positif
Saat memutar video, suara selalu mati, tolong sediakan settingan agar bisa selalu dibuka, agar tidak perlu buka suara satu2 videonya;netral
Aplikasi jelek,gak bagus tambah katro lagi nyesel install aplikasi ini, Siap² unsinstall gaes.. #kecewa #kecewaberat;negatif
Tidak bagu. Ilang2. Jelek. Tidak bagus. Update habis kuota;negatif
Semoga tambah bagus lagi. Saran min kedepannya jangan hanya akun centang biru diberanda kita, minimal konten yang kita sukai /relevan dengan akun kita saja yang muncul seperti algoritma di instagram;positif
Threads gk ramah kayak dulu, padahal baru buka, tpi yg lewat cewek2 yg pada ngeliatin aurat nya, ni apk lama kayak fb co, mending ni apk di setting buat tulisan aja, gk usah ada upload2 gambar video segala, jadi kayak note aja;negatif
"Aplikasi nya gak bisa dibuka , cuman bisa liat beranda doang, dari cari, aktivitas sama akun gak bisa diliat, muncul tulisan ""Maaf, ada masalah. Coba lagi"" Sudah di uninstal masih aja gk bisa";negatif
Lumayan sih.. cuma klo mo zoom gambar tuh repot bin ribet.. ga kaya aplikasi sebelah, yang tinggal ketuk 2x .. coba dong ATM..(Amati.. Tiru.. Modifikasi)..;positif
Mungkin bisa menambahkan fitur translator bahasa apapun agar kita bisa tau arti dari postingan seseorang juga ada fitur save foto/video juga;netral
Sejauh ini masih bagus, aman.. belum ada keluhan.. semoga tidak berubah jadi dating apps 😇😇🙌;positif
Kenapa masih aja, timeline isinya random banget, orang yang ga kita follow masih aja muncul di beranda. Tolong itu di atur lagii;negatif
Sebenarnya sudah bagus, sayang fitur seperti hastag masih belum tersedia, semoga diupdate terbaru mas Mark Zuckerberg nambahin banyak fitur keren.;positif
Suka aku karna hemat kuota. Saya berharap aplikasi ini akan ada fitur DM-nya.;positif
Ini kenapa ya, parah banget saya bikin postingan dari pagi sampai sore ga kelar kelar. Mohon dong diperhatikan lagi🙏;negatif
tidak ada opsi kamera saat mau post, dan tidak ada fitur zoom untuk liat foto. semoga bisa di tingkatkan lagi nanti.;positif
sebenernya uda bagus cuma ada beberapa bug misalnya saat refresh itu sama sekali ga muncul postingan apapun,mw nge search juga nunggu beberapa detik walaupun ga terlalu sering muncul dan yg paling penting adain fitur translate lah developer.!;positif
Aplikasinya sangat bagus dan saya suka banget tetapi alangkah baiknya kalau mendaftarnya tidak menggunakan Instagram karena hp saya terasa berat menggunakan 2 aplikasi sekaligus apalagi HP saya HP kentang;positif
"coba deh threads ubah format tanggalnya jangan pake mingguan tapi pake tanggal & jam berapa tepat. terus, di segmen explore, improve search barnya biar ga kalah sama X & Tiktok. ini apk penulisan sisi lain Instagram, tp search barnya jangan disamain dengan IG yg lebih efektif mencarinya lewat ""#"" & nama doang";netral
Sama aja aplikasi eror.. Semuanya pada eror.. Gk guna juga sama kayak apk sebelah;negatif
Baru juga download. Malah bug mulu. Upload selalu gagal. Padahal wifi stabil;negatif
kesel banget treads gaada fotur draftnya kayak di Twitter, saya udah ngetik panjang banget sampai berjam jam hilang gitu aja cuma garagara hp saya mati udah berkali kali kek gitu, jadi hilang mood;negatif
beri sedikit kemudahan dan agar bisa selalu lancar gampang di hafal simpel exskitif dari dalam aplikasi untuk lebih baik dan terus terbaik untuk semua pengguna;positif
Sayangnya tidak ada cara untuk mengembalikan lencana treads di profil Instagram setelah tak sengaja atau menang sengaja menyembunyikan nya.;negatif
aplikasinya sangat menarik, karena bisa posting berupa kata-kata dan tidak harus ada konten foto/video yang dimuat seperti di aplikasi utama yaitu Instagram.;positif
aplikasi bagus dan berguna juga, tapi terkadang ada bug dan keluar apk dgn sendirinya, tapi untuk sekarang aplikasi nya bagus² aja;positif
