content;label
Sebenarnya aplikasinya bagus simpel gak nego2. Dan cenderung sedikit bot karena log in lewat Instagram. Tapi tolong ditambahkan gitu DM karena jadi gak perlu buka ig. Dan ada bug ketika dialihkan ke ig gak bisa kembali harus ditutup atau gak kembali ke home screen;negatif
Semakin kesini semakin membaik kualitas Threads, gambar/video kualitas tidak menurun. Selebihnya sudah sangat baik, tapi saran dari saya Threads masukkan ke dalam meta creator studio agar bisa terintegrasi dari Facebook, Instagram, dan Threads supaya bisa jadwalkan postingan serta bisa posting sekali bisa 3 platform sekaligus. MOHON UPDATE KEDEPANNYA DI MASUKAN YA DEVELOPER. Sekian terima kasih.;positif
Aku menemukan 2 bug. Yang pertama saat unggah threads dengan lampiran foto resolusi tinggi, threads tidak terunggah padahal koneksi data unggahnya berjalan, dan itu dibarengi dengan aplikasi lag bahkan sampai forceclose. Dan yang kedua saat copy teks selain huruf alphabet (seperti huruf arab, Thailand, aksara jawa), aplikasi akan mengalami lag hingga kemudian forceclose. Untuk pengembang, tolong optimalkan lagi karena beberapa apl META mempunyai masalah sama terhadap kompresi media foto & video.;negatif
Permulaan bagus ada saingan aplikasi burung. Namun masih ada beberapa bug seperti mau nulis sesuatu terkadang keyboard seperti error, tulisan kehapus sendiri, padahal normal, lalu orang2 yang mengikuti terkadang ilang pas di refresh muncul kembali, fitur hastag atau tagarnya tidak bisa di klik, mungkin gaada fitur itu, sarannya adain biar mempermudah akses yg lagi trend sepeti di aplikasi burung. Tks.;positif
Sedikit saran beberapa fitur buat aplikasi ini.. mungkin bisa di optimalkan fitur zoom foto. Soalnya kadang susah klo mau liat foto gabisa di zoom.. terus mungkin tambahin Hastag (#) juga. Biar orang klo mau nulis caption tertentu bisa dijangkau lebih luas. Terus... Klo emang mau disamakan dengan Twitter, ada 2 tab beranda. Seperti Following dan For You. Oh! Sama satu lagi.. Tambahin opsi media berupa Galeri bawaan di bagian post tweet. Jadi supaya orang gampang milih foto di dalam galeri .;positif
pengalaman harii kedua setelah unduh threads, masih kurang handal untuk lampirkan foto atau vidio dengan file ukuran besar, belum dikompresi, jadinya gagal terunggah setelah beberapa kali mencoba, hapuslah akhirnya, karena cukup menganggu saat open threads berikutnya. Mungkin ini salah satu yang harus diperbaiki di aplikasi bin sofwarenya. sedangkan hal lainnya belum menemukan, jadi untuk saat awal cukuplah kasih 4 bintang;positif
Aplikasi udah baik. Namun, saya menemukan bug ketika akan membuat thread. Dimana ketika saya pindahkan kursor ke kata awal yang udah ditulis dan ingin mengganti kursor error tidak mau spasi ataupun ditambah huruf. Tolong juga perbaiki tampilannya agar lebih enak dilihat. Tambah juga mode gelap. Dan juga buatkan menu pemilahan antara bukan following dan following Sekian;netral
Cukup menarik sih sebagai alternatif twitter, login nya jg sangat simple . . . Animasi saat open close foto/video jg asik fluid jg . . . Mudah² an di kasih opsi biar video tdk run otomatis jd lebih hemat kuota & jg saran dr sy lebih enak klo saat di like postingan, foto video tinggal double klik kyk instagram udh cukup mantap buat app ini . . .;positif
Masih banyak kurangnya 🤧 gk ada translate,, Terus yg lewat di beranda kebanyakan centang biru semua,, gk ada fitur light mode & dark mode, kirim pesan,, #trending,, mau komen plus pake foto malah error / gagal terkirim,, Minimal perbaiki bug juga & kurangnya fitur Threads;negatif
selama saya coba, aplikasinya bagus sih gampang dipakai karena UInya simpel dan juga daftarnya pake akun Instagram yang udah ada jadi ga ribet. Cuma kalo bisa sih ditambahin fitur save gambar biar ga repot-repot buat screeshot terus crop manual.;positif
