userName;score;at;content;label
Bg Jhon;5;21/01/2024 11.09;Kasih bintang⭐⭐⭐⭐⭐ dulu nanti baru liat hasilnya;positif
Love Hunter;5;19/01/2024 15.09;apk sangat bagus, saya banyak melihat cewe tobrut;positif
Hasyim Adnan;5;14/01/2024 12.29;aplikasi nya bagus banget dan aku juga suka sama aplikasinya;positif
Lestari Dwi;5;12/01/2024 02.03;bagus;positif
Rezi Aulia;5;12/01/2024 00.13;Bagus dan membantu sekali;positif
Jubaedah Andriani;5;11/01/2024 23.36;sangat bagus;positif
Agil Syahputra;1;11/01/2024 12.51;Lencana di instagram tidak bisa di sembunyikan;negatif
Afid Arifin;3;11/01/2024 01.00;Baru bikin dan install, siapa tau berguna.;netral
Zaa Aa;1;10/01/2024 16.56;Force close mulu;negatif
Marwan Iwan;5;10/01/2024 15.18;oke mantap saya suka;positif
Supriono Berasa;5;10/01/2024 14.09;bagus;positif
Shavi Andriyanti;5;10/01/2024 10.43;Perfect❤;positif
ade suryadi;5;10/01/2024 01.34;keren nih threads;positif
Nur Aini;5;09/01/2024 11.39;baikk;positif
Newtone;1;07/01/2024 14.30;postinganku tidak gampang terlihat publik;negatif
Kuki;1;07/01/2024 02.43;app jelek, mending burung biru yg skr jadi huruf monokrom.;negatif
Noor Yoshi17;5;06/01/2024 22.03;Recommended 👍🏻👍🏻👍🏻;positif
FADLI CHANIAGO;5;06/01/2024 20.04;Good Jobs;positif
eyca grti;5;06/01/2024 15.07;aplikasi nya bagus tapi kenapa gabisa di instal di akunya?;positif
Mary Ryanti;4;06/01/2024 14.59;baik;positif
Ikan Teri;4;06/01/2024 01.13;menarik;positif
fajar Saputra;5;05/01/2024 23.20;Aplikasi sangat bagus 👍🏻;positif
Selfi Purwanti;1;05/01/2024 11.20;Kok di aku g bisa diunduh sih,.setiap udah 98% pasti g bisa;negatif
Muti Ramadhan;1;05/01/2024 11.09;Jangan di download gan, serius deh threads ini GA ASIK SAMA SEKALI;negatif
Kresendo Marantika;5;05/01/2024 11.05;Keren dan update;positif
Dwi Irene santi;5;05/01/2024 09.46;kereeeen lah;positif
Ihdi Fuadi;5;05/01/2024 02.54;impresif;positif
Arif. M;3;04/01/2024 23.04;Gak tahu coy;netral
Ong Hian yen;5;04/01/2024 16.55;Baru mau coba semoga tidak di coba in ya..;positif
Sanji Koki;1;04/01/2024 07.59;apa sih gk jelas cok;negatif
Ajie Bilal farabi;2;03/01/2024 20.02;Misalnya sudah sangat bagus saya baru kasih bintang lima supaya bisa lebih berkembang lagi aplikasi ini;negatif
Bintari Wuryaningsih dr;4;03/01/2024 15.01;Keren aplikasinya. Coba bisa dipercepat lagi waktu utk posting kontennya pasti lebih seruuuu 👍👍;positif
ipan mstf;1;03/01/2024 12.49;tolong bedain dong beranda sama yang saya ikuti;negatif
Bilga Ryandra;5;03/01/2024 12.08;UI nya kurang menarik;positif
Reski okian;5;03/01/2024 05.08;Ttup. ad, mta. aDD;positif
Takin Gaspoll;5;02/01/2024 19.09;Bagusss;positif
Abi Pratama;1;02/01/2024 12.27;X wannabe;negatif
ini Kibulll;1;02/01/2024 11.53;cara fyp nya gimana 🗿;negatif
Harvey666din Makbul;1;02/01/2024 10.20;Aplikasi terjelek meniru twitter;negatif
Auleo Yusuf;5;02/01/2024 09.39;MANTAPP LAHH;positif
muhamad rausyan;1;01/01/2024 21.17;Kesannya mirip kayak apps sebelah. Agak ngebosenin aja karena fiturnya ya bisa dibilang 11 12.;negatif
Fauziah A.P;4;01/01/2024 16.44;awalan ga ngerti ini aplikasi apaan kn' tpi setelah tau bagus bngtt aplikasiny👍;positif
Achmad Syarif;1;01/01/2024 10.20;Banyak threads suggest content pornography;negatif
Erlina Maya;1;31/12/2023 20.46;APLIKASI TAAAAIIIIIIII.;negatif
Idris rooney;5;31/12/2023 12.22;apk ini sangat baguss;positif
Arum Sani;5;31/12/2023 07.19;belum begitu memahami Threads 🥲;positif
Kirana Aurelizza;5;31/12/2023 01.46;"Aplikasi nya GK neko"" , bisa kayak semacam bot gitu";positif
Siti Fatonah Fatonah;5;30/12/2023 14.46;bagus;positif
didis;4;30/12/2023 13.11;jujur ini bagus sii, tau gasi apk ini tuh isinya kepribadian lain / hal random dr orang lain. gue jg iya si sbenernya wkwk, cm disini gue ga nemu AU padahal kata saudara gue ada AU disini dan isinya lebi banyak dr pada apk sbelah wkwk;positif
Rhan Rhanny;1;30/12/2023 11.04;"meta pecundang. zurk kau lebih suka bayi""dan wanita""dibunuh. ingat!! ibu, istri dan anakmu jg perempuan";negatif
Dibalik Jari;1;30/12/2023 08.21;Auto refresh nya ganggu;negatif
Hasan Diningrad;1;30/12/2023 03.26;Halah, ini kenapa akun saya Selalu gagal mengirim utas. Tolong jawabannya....;negatif
Bagas Rahmawan;4;29/12/2023 11.59;lumayan;positif
Nia Khusnia;2;29/12/2023 07.15;Istagram pilih kasih komen selalu di batasi;negatif
Umar Sani;4;29/12/2023 06.02;bagus tempat berpolitik,adu argumentasi jg hiburan;positif
kang dian;5;29/12/2023 01.50;Ok;positif
Anindya Putri Salsabillah;5;28/12/2023 05.34;suka banget, bisa jadi tempat curhat dan catatan kecil hidupkuh😁😁😁;positif
Muhammad Dhiman Abror;4;27/12/2023 14.43;Cukup baik dan designnga ala X. Saran aja sih itu ikon + plus di akun yang ga difollow diilangin, kurang nyaman dilihat.;positif
Syairah Nabila;5;27/12/2023 14.32;aplikasi ini sangat bagus;positif
Ponyth 123;1;27/12/2023 14.00;Do nor support genocide;negatif
akhmad kahfi;1;27/12/2023 12.11;pendukung israhell;negatif
Irma Nurprimaeti;1;27/12/2023 10.09;not good;negatif
Hasmitasuri Syahidah;1;27/12/2023 05.03;Aplikasinya sudah menurun,, postingan saya sering di hapus,,;negatif
Elvin Pangerantamba;5;27/12/2023 03.25;like threads;positif
Emi Utami;1;27/12/2023 02.54;bintang satu dulu klu sudah ada pengikut tak kasih bintang 4;negatif
In Kojongian;5;27/12/2023 01.53;cukup utk menjadi wadah bercerita;positif
FAISAL RIVAN;5;26/12/2023 21.38;Very Good...👍👍👍;positif
indra surya wijaya;5;26/12/2023 15.47;baik;positif
Joko Wiyono;5;26/12/2023 11.56;masih belajar mungkin bisa bantu;positif
Talia Mom;5;26/12/2023 10.51;Apk ny bgus keren juga;positif
Dwi Fatimah;1;26/12/2023 01.08;Membungkam kebenaran;negatif
endar hikmah;5;25/12/2023 16.05;endarhikmah@;positif
Dadan Mulyadi;5;25/12/2023 15.35;Madep;positif
Enrico Falihツ;5;25/12/2023 14.52;Sebenernya aplikasi nya itu simpel ngga neko neko. Cenderung seperti bot karena login harus menggunakan Instagram. Oh iya tambahkan fitur DM biar tidak memerlukan membuka aplikasi bernama Instagram. Terakhir tolong perbaiki Bug dimana tidak bisa kembali, dan harus menekan tombol home.;positif
kokohen;5;25/12/2023 13.56;🙃urf mfj ro;positif
Zaki Sudrajat;3;25/12/2023 10.59;belum ngerti gw jg he he he;netral
kamiliki pratama;5;25/12/2023 10.26;Semoga kedepannya bagus;positif
Doelby Id;1;25/12/2023 09.42;Sangat tidak bersahabat;negatif
Diandra;1;25/12/2023 04.04;T̶A̶K̶ A̶D̶A̶ F̶I̶T̶U̶R̶ P̶E̶S̶A̶N̶ 👎🏻👎🏻 auto * 1;negatif
Fikri D.K;3;24/12/2023 18.10;Tolong kalau bisa Threads di bikin ketikan huruf nya diatas 6000 atau lebih agar bisa bikin postingan kata2 yang lebih panjang;netral
Darli Haryanto Official;4;24/12/2023 03.04;Sangat bagus;positif
Rion Almutawa;5;23/12/2023 13.34;nice thanks to this aplikasi;positif
Gus Ipul Official (Gus Ipul);5;23/12/2023 12.05;Makin banyak maka terasa perlu untuk melakukan hal yang baru;positif
Supriadi Uppi;5;22/12/2023 13.45;ini keren;positif
DenCC;5;22/12/2023 01.34;Bagus sangat simple;positif
Isul Yusuf;5;21/12/2023 14.09;Mantap;positif
Kr Dewi;4;21/12/2023 13.06;Top;positif
Ernita Padang;5;21/12/2023 03.38;Semoga Threads bisa membuat banyak orang mendapatkan uang 💵;positif
Agis Rabbani;3;21/12/2023 03.06;Baru instal belum tau banyak tentang threads;netral
ARIZALL Kristanto;3;20/12/2023 16.22;No komen cukupan,cuman persisnya REEL aja.;netral
B K;1;20/12/2023 12.54;Banyak konten porn ..;negatif
Yasnadi Sikumbang;1;20/12/2023 12.35;Karena masih punya Yahudi bintang 87 aja;negatif
Braxy Kw;1;19/12/2023 11.35;Aplikasi penuh dengan ketelanjangan, sangat disayangkan ,banyak cewek2 penjual diri yang sangat banyak, aku rekomendasiin jangan download.;negatif
Kwarta Adimphrana;5;19/12/2023 10.09;mantap;positif
Ikbal As;1;18/12/2023 23.28;Apkk tidak penting;negatif
Pedró Rodrigüez;1;18/12/2023 19.36;Apk MEMBOSANKAN..!!!! gak mutu zuck..!!;negatif
Silvi Maulidini;2;18/12/2023 07.35;Kasih bintang 2 karena menurut aku aplikasinya kurang bagus;negatif
Febri Anto;3;18/12/2023 02.44;Ini kenapa saya tidak centang biru yah;netral
Bahe Gama;1;18/12/2023 01.09;Jelek;negatif
