userName;score;content;label
Enrico Falihツ;5;Sebenernya aplikasi nya itu simpel ngga neko neko. Cenderung seperti bot karena login harus menggunakan Instagram. Oh iya tambahkan fitur DM biar tidak memerlukan membuka aplikasi bernama Instagram. Terakhir tolong perbaiki Bug dimana tidak bisa kembali, dan harus menekan tombol home.;positif
Agip Dwijayanto;5;Bintang 5 untuk devolevernya agar semangat ngembangin apk ini... Belum bisa menilai bagus atau engga nya untuk apk ini karna masih terbilang baru rillis masih bnyak yg harus diperbaiki terutama dari segi bugnya dan untuk para pengguna tolonglah jngan banyak mengeluh wajar banyak masalah di apk ini ,karna baru aja rillis gw yakin kedepannya apk ini pasti jadi trend;positif
Fifin Destian;2;Menurut ku, threads harus bikin fitur dm soalnya kalo cuma ngescroll isi nya doang ya lama lama jadi ngebosenin, awal awal menarik tapi lama kelamaan ya jadu ngebosenin soalnya isi nya cuman gitu gitu aja, gak ada fitur yang ngebuat woaah gitu, jadi saran ku aja, tolong adain fitur dm gitu;negatif
Romlan Arieyanto;5;"Sebemer nya aplikasinya bagus simpnhk neko"" dan cenderung sedikit bot karena login lewat Instagram. Tapi tolong di tambahkan gitu DM karena jadi gk perlu buka ig. Dan ada bug ketika di alihkan ke ig gk bisa kembali harus di tutup atau gk kembali ke home screen";positif
ahmad mahfud;2;Sebenarnya aplikasinya bagus simpel gak nego2. Dan cenderung sedikit bot karena log in lewat Instagram. Tapi tolong ditambahkan gitu DM karena jadi gak perlu buka ig. Dan ada bug ketika dialihkan ke ig gak bisa kembali harus ditutup atau gak kembali ke home screen;negatif
bang Comed;1;Terpaksa install ni app. Kalau ga di-install, notif di Instagram nyala terus setiap habis buka app ig-nya.;negatif
Fajar rasanja;1;Kalo udah posting tapi habis itu tiba2 formatnya berubah jadi kotak (1:1) bukan potrait kayak reels gitu, itu kenapa ya? ada yang sama an jg ga ?? :(;negatif
Kania Putriasari;1;Woyyy kenapa gw nggak bisa komen dithreads orang lain?? Dan kenapa setiap gw like, share utas baik foto/video tetap GK bisa kirim.. solusiny gimana ini?? Apa perlu gw hapus lagi ini aplikasiny? Kesel banget anjirrr, rugi gw install aplikasi ini... Parah bangettt Gak Guna!!!!!!!!!!!!!!! Ku kira aplikasinya WOW ternyata Naudzubillah gw download, pdhl gw pke hpny bru loh, memory card pun masih kosong.. bru ke install App IG sm app ini.. tpi hasilny stlh install app threads tdk sesuai ekspetasi !!!!;negatif
Muchtar Luthfi;5;Sungguh menarik dengan kemudahan untuk berbagi juga memberikan komentar yang bisa disertai dengan gambar gambar yang mendukung postingan kita tentunya. Keren aza ya 😃;positif
Ahmad Fikri;2;setelah update fitur polling menghilang dan fitur hastag tidak dapat.;negatif
wisang geni;5;Bagus.. kalo bisa kasih opsi terjemah buat yang bahasa asing;positif
